课程名称,星期,开始节数,结束节数,老师,地点,周数
高等数学A,1,1,2,殷锡鸣,G707,18
高等数学A,1,1,2,殷锡鸣,T5304,"3,5,7-17"
【实验】高级语言程序设计,1,3,4,1/第1组,T2617,"11-12,8-8"
思想政治理论实践课,1,3,4,李兵,H312,15
自动化专业导论,1,3,4,楼云江,T2811,"3,7"
自动化专业导论,1,3,4,吴爱国,T2811,5
工程制图基础,1,5,6,黄海林,T2407,10-15
工程制图基础,1,5,8,黄海林,T2407,"3,5,7-9"
工程制图基础,1,7,8,黄海林,T2617,10-15
工程制图基础,1,5,8,黄海林,T2407,"3,5,7-9"
诗经研读,1,9,10,李笑野,T2304,"5,7,8,11-14"
高等数学A,2,1,2,殷锡鸣,T5304,19
机器人设计与实践,2,1,2,陈浩耀,H508,11-14
机器人设计与实践,2,1,2,黄瑞宁,H508,8-10
代数与几何,2,3,4,梁慧,T3502,"3,5,7-19"
英语听说,2,5,6,张家强,T2411,"5,7-19"
【实验】高级语言程序设计,2,7,8,1/第1组,T2210,13-13
大学生心理健康,2,7,8,侯舒艨,G707,"3,5,7-12"
体育A,2,9,10,李瑜,哈工大排球场,"3,5,7-19"
【实验】高级语言程序设计,3,1,2,1/第1组,T2210,14-14
机器人设计与实践,3,1,2,黄瑞宁,H508,7
自动化专业导论,3,1,2,吴爱国,T2811,"4,5"
高等数学A,3,3,4,殷锡鸣,H408,"3-5,7-19"
计算与化学新讲,3,5,6,周佳,H502,"4,5,7-12"
【实验】机器人设计与实践,3,7,8,实验五/第2组,K321,12-12
代数与几何【辅导】,3,7,8,梁慧,T3502,"11,13,16,18"
高级语言程序设计,3,7,8,宋霜,T3502,"4,5"
高级语言程序设计,3,7,8,杨旭东,T3502,7-10
思想道德与法治,3,9,10,李想,H408,4
思想道德与法治,3,9,10,席伟健,H408,"3,5,7-19"
高等数学A,4,1,2,殷锡鸣,T5304,"3-5,7-19"
代数与几何,4,3,4,梁慧,T3502,"3-5,7-19"
大学生心理健康,4,7,8,侯舒艨,G707,"3-5,7-11"
形势与政策,4,7,8,陈南坤,G707,16
形势与政策,4,7,8,李娜,G707,12
【实验】机器人设计与实践,5,1,2,实验二/第2组,K321,9-9
工程制图基础,5,1,4,黄海林,T2407,"10,15"
工程制图基础,5,1,4,黄海林,T2815,11-14
工程制图基础,5,1,2,黄海林,T2407,4
自动化专业导论,5,1,2,楼云江,T2811,"3,7"
【实验】机器人设计与实践,5,3,4,实验八/第2组,K321,16-16
工程制图基础,5,1,4,黄海林,T2407,"10,15"
工程制图基础,5,1,4,黄海林,T2815,11-14
【实验】高级语言程序设计,5,5,6,1/第1组,T2617,"10-12,7-8"
【实验】机器人设计与实践,5,5,6,实验七/第2组,K321,14-14
【实验】机器人设计与实践,5,7,8,实验四/第2组,K321,11-11
高级语言程序设计,5,7,8,宋霜,T3502,4
高级语言程序设计,5,7,8,杨旭东,T3502,6-10
代数与几何【辅导】,5,9,10,梁慧,T3502,6
诗经研读,5,9,10,李笑野,T2304,15
形势与政策,5,9,9,李兵,无地点,2
形势与政策,5,10,10,楼云江,无地点,2
代数与几何,6,3,4,梁慧,T3502,6
代数与几何【辅导】,6,5,6,梁慧,T3502,9
高级语言程序设计,6,5,6,杨旭东,T3502,11
英语听说,6,5,6,张家强,T2411,"7,8"
【实验】机器人设计与实践,6,9,10,实验三/第2组,K321,10-10
工程制图基础,7,1,4,黄海林,T2815,4
【实验】机器人设计与实践,7,3,4,实验一/第2组,K321,8-8
工程制图基础,7,1,4,黄海林,T2815,4
【实验】机器人设计与实践,7,5,6,实验六/第2组,K321,13-13
高级语言程序设计,7,5,6,杨旭东,T3502,10
自动化专业导论,7,5,6,吴爱国,T2811,4
